date,neg,neu,pos
2020/3/1,0.434,0.534,0.032
2020/3/2,0.446,0.51,0.044
2020/3/3,0.414,0.544,0.042
2020/3/4,0.424,0.526,0.05
2020/3/5,0.422,0.516,0.062
2020/3/6,0.41,0.55,0.04
2020/3/7,0.41,0.532,0.058
2020/3/8,0.376,0.582,0.042
2020/3/9,0.446,0.514,0.04
2020/3/10,0.348,0.6,0.052
2020/3/11,0.44,0.492,0.068
2020/3/12,0.39,0.556,0.054
2020/3/13,0.376,0.536,0.088
2020/3/14,0.384,0.552,0.064
2020/3/15,0.348,0.578,0.074
2020/3/16,0.404,0.542,0.054
2020/3/17,0.332,0.592,0.076
2020/3/18,0.338,0.566,0.096
2020/3/19,0.324,0.59,0.086
2020/3/20,0.308,0.582,0.11
2020/3/21,0.352,0.554,0.094
2020/3/22,0.38,0.536,0.084
2020/3/23,0.386,0.55,0.064
2020/3/24,0.31,0.608,0.082
2020/3/25,0.334,0.578,0.088
2020/3/26,0.354,0.546,0.1
2020/3/27,0.366,0.562,0.072
2020/3/28,0.362,0.536,0.102
2020/3/29,0.39,0.534,0.076
2020/3/30,0.342,0.564,0.094
2020/3/31,0.366,0.57,0.064
2020/4/1,0.394,0.546,0.06
2020/4/2,0.362,0.554,0.084
2020/4/3,0.388,0.546,0.066
2020/4/4,0.386,0.516,0.098
2020/4/5,0.378,0.56,0.062
2020/4/6,0.336,0.57,0.094
2020/4/7,0.382,0.524,0.092
2020/4/8,0.382,0.55,0.068
2020/4/9,0.32,0.596,0.084
2020/4/10,0.372,0.542,0.086
2020/4/11,0.376,0.552,0.072
2020/4/12,0.354,0.568,0.078
2020/4/13,0.35,0.584,0.066
2020/4/14,0.39,0.538,0.072
2020/4/15,0.362,0.566,0.072
2020/4/16,0.318,0.598,0.084
2020/4/17,0.38,0.542,0.076
2020/4/18,0.39,0.544,0.066
2020/4/19,0.44,0.494,0.066
2020/4/20,0.372,0.556,0.072
2020/4/21,0.332,0.56,0.108
2020/4/22,0.34,0.584,0.076
2020/4/23,0.364,0.582,0.054
2020/4/24,0.374,0.54,0.086
2020/4/25,0.378,0.55,0.072
2020/4/26,0.424,0.488,0.088
2020/4/27,0.354,0.572,0.074
2020/4/28,0.378,0.536,0.086
2020/4/29,0.372,0.55,0.078
2020/4/30,0.362,0.556,0.082
2020/5/1,0.326,0.604,0.07
2020/5/2,0.424,0.508,0.068
2020/5/3,0.38,0.528,0.092
2020/5/4,0.352,0.56,0.088
2020/5/5,0.368,0.554,0.078
2020/5/6,0.416,0.5,0.084
2020/5/7,0.36,0.556,0.084
2020/5/8,0.34,0.574,0.086
2020/5/9,0.366,0.57,0.064
2020/5/10,0.382,0.526,0.092
2020/5/11,0.356,0.55,0.094
2020/5/12,0.362,0.552,0.086
2020/5/13,0.348,0.578,0.074
2020/5/14,0.408,0.512,0.08
2020/5/15,0.354,0.566,0.08
2020/5/16,0.408,0.514,0.076
2020/5/17,0.44,0.5,0.06
2020/5/18,0.336,0.566,0.098
2020/5/19,0.372,0.552,0.076
2020/5/20,0.35,0.58,0.07
